Reaction Date,Reaction Type,Parent Type,Parent ID
"Jun 17, 2017, 6:49:06 PM",Kudos,Activity,1041082653
"Jun 18, 2017, 6:23:21 AM",Kudos,Activity,1041110895
"Jun 18, 2017, 6:23:21 AM",Kudos,Activity,1041217847
"Jun 18, 2017, 6:23:22 AM",Kudos,Activity,1041544746
"Jun 24, 2017, 9:38:17 AM",Kudos,Activity,1051285729
"Jun 24, 2017, 6:16:20 PM",Kudos,Activity,1052006703
"Jun 24, 2017, 6:16:21 PM",Kudos,Activity,1052006201
"Jul 2, 2017, 11:10:19 AM",Kudos,Activity,1063630315
"Jul 9, 2017, 10:44:31 AM",Kudos,Activity,1074716781
"Jul 9, 2017, 5:36:24 PM",Kudos,Activity,1075499418
"Jul 9, 2017, 5:36:32 PM",Kudos,Activity,1075481057
"Jul 9, 2017, 5:36:34 PM",Kudos,Activity,1075444452
"Jul 10, 2017, 7:48:59 PM",Kudos,Activity,1076909434
"Jul 10, 2017, 7:49:01 PM",Kudos,Activity,1076914213
"Jul 10, 2017, 7:49:04 PM",Kudos,Activity,1076892004
"Jul 11, 2017, 7:16:27 PM",Kudos,Activity,1078175496
"Jul 11, 2017, 7:16:30 PM",Kudos,Activity,1078018489
"Jul 11, 2017, 7:16:38 PM",Kudos,Activity,1077949103
"Jul 12, 2017, 8:46:13 PM",Kudos,Activity,1079919780
"Jul 13, 2017, 7:14:10 PM",Kudos,Activity,1081457951
"Jul 13, 2017, 7:14:14 PM",Kudos,Activity,1081470442
"Jul 14, 2017, 8:36:23 PM",Kudos,Activity,1083144686
"Jul 14, 2017, 8:36:24 PM",Kudos,Activity,1083137725
"Jul 16, 2017, 9:29:58 AM",Kudos,Activity,1085687593
"Jul 23, 2017, 9:39:42 AM",Kudos,Activity,1097121738
"Jul 30, 2017, 4:22:33 PM",Kudos,Activity,1108454704
"Aug 6, 2017, 9:57:12 AM",Kudos,Activity,1119611049
"Aug 11, 2017, 7:11:07 PM",Kudos,Activity,1125640937
"Aug 13, 2017, 10:20:45 AM",Kudos,Activity,1130920672
"Aug 26, 2017, 12:32:12 PM",Kudos,Activity,1152568290
"Sep 2, 2017, 5:14:11 PM",Kudos,Activity,1164565414
"Sep 2, 2017, 5:14:17 PM",Kudos,Activity,1164562611
"Sep 2, 2017, 5:14:27 PM",Kudos,Activity,1164572180
"Sep 3, 2017, 11:10:09 AM",Kudos,Activity,1165733392
"Sep 10, 2017, 9:45:29 AM",Kudos,Activity,1176748287
"Sep 24, 2017, 1:23:29 PM",Kudos,Activity,1199232484
"Sep 24, 2017, 1:23:32 PM",Kudos,Activity,1199182953
"Oct 1, 2017, 10:04:46 AM",Kudos,Activity,1209755920
"Oct 1, 2017, 10:05:08 AM",Kudos,Activity,1209764230
"Oct 1, 2017, 10:06:14 AM",Kudos,Activity,1208689924
"Oct 2, 2017, 11:18:09 AM",Kudos,Activity,1210002621
"Oct 6, 2017, 7:13:17 PM",Kudos,Activity,1218080176
"Oct 8, 2017, 11:29:28 AM",Kudos,Activity,1220181547
"Oct 13, 2017, 6:58:29 AM",Kudos,Activity,1227826186
"Oct 14, 2017, 4:35:35 PM",Kudos,Activity,1229852250
"Oct 15, 2017, 11:42:17 AM",Kudos,Activity,1230791439
"Oct 15, 2017, 11:42:22 AM",Kudos,Activity,1230833127
"Oct 15, 2017, 11:43:03 AM",Kudos,Activity,1231250930
"Oct 21, 2017, 11:03:44 AM",Kudos,Activity,1238747761
"Oct 21, 2017, 3:40:43 PM",Kudos,Activity,1240515556
"Oct 22, 2017, 9:36:08 AM",Kudos,Activity,1241357924
"Oct 28, 2017, 8:40:28 PM",Kudos,Activity,1250716781
"Oct 29, 2017, 10:43:33 AM",Kudos,Activity,1251488828
"Nov 8, 2017, 9:19:44 PM",Kudos,Activity,1266998398
"Nov 8, 2017, 9:19:52 PM",Kudos,Activity,1267118686
"Nov 11, 2017, 7:26:15 PM",Kudos,Activity,1269621030
"Nov 11, 2017, 7:26:22 PM",Kudos,Activity,1268257420
"Nov 12, 2017, 11:37:07 AM",Kudos,Activity,1271607637
"Nov 12, 2017, 11:37:13 AM",Kudos,Activity,1271691941
"Nov 14, 2017, 3:45:00 PM",Kudos,Activity,1273955904
"Nov 17, 2017, 4:24:34 AM",Kudos,Activity,1278117712
"Nov 19, 2017, 8:27:30 PM",Kudos,Activity,1281451062
"Nov 20, 2017, 11:42:56 AM",Kudos,Activity,1283005170
"Nov 22, 2017, 8:53:00 PM",Kudos,Activity,1284239975
"Nov 22, 2017, 8:53:12 PM",Kudos,Activity,1284953220
"Nov 25, 2017, 12:59:58 PM",Kudos,Activity,1289406288
"Nov 26, 2017, 10:49:28 AM",Kudos,Activity,1290841658
"Nov 26, 2017, 10:49:37 AM",Kudos,Activity,1290873679
"Nov 26, 2017, 10:49:48 AM",Kudos,Activity,1290356639
"Nov 26, 2017, 10:49:50 AM",Kudos,Activity,1289834545
"Nov 28, 2017, 8:42:04 PM",Kudos,Activity,1291661030
"Dec 3, 2017, 10:09:44 AM",Kudos,Activity,1299305722
"Dec 3, 2017, 10:09:45 AM",Kudos,Activity,1299291603
"Dec 3, 2017, 10:09:53 AM",Kudos,Activity,1300000989
"Dec 17, 2017, 10:17:38 AM",Kudos,Activity,1316858830
"Dec 22, 2017, 11:35:54 AM",Kudos,Activity,1322857858
"Dec 23, 2017, 7:33:23 AM",Kudos,Activity,1323359261
"Dec 24, 2017, 12:26:10 PM",Kudos,Activity,1325225321
"Dec 26, 2017, 11:11:47 AM",Kudos,Activity,1327477655
"Dec 26, 2017, 2:33:34 PM",Kudos,Activity,1327751011
"Dec 26, 2017, 2:33:38 PM",Kudos,Activity,1327796785
"Dec 26, 2017, 4:15:01 PM",Kudos,Activity,1328002353
"Dec 28, 2017, 8:03:28 PM",Kudos,Activity,1329514589
"Dec 31, 2017, 10:26:19 AM",Kudos,Activity,1334119308
"Dec 31, 2017, 10:26:32 AM",Kudos,Activity,1334048195
"Jan 1, 2018, 10:40:41 AM",Kudos,Activity,1335586109
"Jan 7, 2018, 5:13:09 PM",Kudos,Activity,1345370758
"Jan 7, 2018, 5:13:12 PM",Kudos,Activity,1345355056
"Jan 9, 2018, 9:54:24 PM",Kudos,Activity,1349024237
"Jan 10, 2018, 8:12:08 PM",Kudos,Activity,1350622323
"Jan 14, 2018, 5:59:06 PM",Kudos,Post,1189106
"Jan 21, 2018, 6:20:50 PM",Kudos,Activity,1368098587
"Jan 21, 2018, 6:20:51 PM",Kudos,Activity,1368095447
"Jan 23, 2018, 7:53:35 PM",Kudos,Activity,1371090802
"Feb 1, 2018, 7:57:20 PM",Kudos,Activity,1385228168
"Feb 3, 2018, 8:42:06 PM",Kudos,Activity,1388298490
"Feb 4, 2018, 6:33:51 PM",Kudos,Activity,1391151655
"Feb 11, 2018, 2:12:30 PM",Kudos,Activity,1402469629
"Feb 11, 2018, 2:13:20 PM",Kudos,Activity,1401527867
"Feb 14, 2018, 6:44:14 AM",Kudos,Activity,1406188292
"Feb 14, 2018, 6:44:44 AM",Kudos,Activity,1406060282
"Feb 17, 2018, 1:27:09 PM",Kudos,Activity,1410528144
"Feb 17, 2018, 9:41:37 PM",Kudos,Activity,1412346061
"Feb 17, 2018, 9:41:40 PM",Kudos,Activity,1412205799
"Feb 17, 2018, 9:42:05 PM",Kudos,Activity,1411212362
"Feb 20, 2018, 7:49:34 PM",Kudos,Activity,1417464816
"Feb 21, 2018, 7:37:29 PM",Kudos,Activity,1417796550
"Feb 21, 2018, 7:37:30 PM",Kudos,Activity,1418746948
"Feb 23, 2018, 4:52:38 PM",Kudos,Activity,1420940982
"Feb 23, 2018, 4:52:55 PM",Kudos,Activity,1420739361
"Feb 24, 2018, 11:46:20 AM",Kudos,Activity,1423196696
"Feb 24, 2018, 3:50:06 PM",Kudos,Activity,1423493717
"Feb 24, 2018, 3:50:08 PM",Kudos,Activity,1423483903
"Feb 25, 2018, 10:25:42 AM",Kudos,Activity,1424485706
"Feb 25, 2018, 3:49:00 PM",Kudos,Activity,1425624313
"Feb 27, 2018, 5:32:12 PM",Kudos,Activity,1427432631
"Feb 27, 2018, 5:32:13 PM",Kudos,Activity,1426899808
"Mar 2, 2018, 1:15:02 PM",Kudos,Activity,1432500504
"Mar 2, 2018, 1:15:19 PM",Kudos,Activity,1432397911
"Mar 4, 2018, 4:06:55 PM",Kudos,Activity,1435936540
"Mar 4, 2018, 4:07:05 PM",Kudos,Activity,1436003049
"Mar 4, 2018, 4:07:44 PM",Kudos,Activity,1435133916
"Mar 4, 2018, 4:07:51 PM",Kudos,Activity,1435236600
"Mar 8, 2018, 7:36:28 PM",Kudos,Activity,1438754111
"Mar 8, 2018, 7:36:31 PM",Kudos,Activity,1442798831
"Mar 9, 2018, 4:55:59 PM",Kudos,Activity,1442868292
"Mar 10, 2018, 12:58:22 PM",Kudos,Activity,1445117101
"Mar 10, 2018, 12:58:28 PM",Kudos,Activity,1444240765
"Mar 10, 2018, 12:58:39 PM",Kudos,Activity,1444421641
"Mar 11, 2018, 3:37:06 PM",Kudos,Activity,1447173303
"Mar 11, 2018, 6:10:18 PM",Kudos,Activity,1447839412
"Mar 14, 2018, 8:29:41 PM",Kudos,Activity,1452889464
"Mar 14, 2018, 8:29:51 PM",Kudos,Activity,1453051856
"Mar 14, 2018, 8:30:33 PM",Kudos,Activity,1453279580
"Mar 16, 2018, 11:41:57 AM",Kudos,Activity,1455518572
"Mar 17, 2018, 1:44:18 PM",Kudos,Activity,1457420119
"Mar 17, 2018, 5:50:18 PM",Kudos,Activity,1457134357
"Mar 18, 2018, 6:03:57 PM",Kudos,Activity,1458657879
"Mar 18, 2018, 6:05:25 PM",Kudos,Activity,1458900744
"Mar 19, 2018, 1:18:51 PM",Kudos,Activity,1460589904
"Mar 21, 2018, 8:02:47 PM",Kudos,Activity,1464673918
"Mar 22, 2018, 4:46:36 PM",Kudos,Activity,1465606306
"Mar 23, 2018, 5:52:19 PM",Kudos,Activity,1467192193
"Mar 24, 2018, 6:32:19 PM",Kudos,Activity,1468403159
"Mar 24, 2018, 6:32:43 PM",Kudos,Activity,1469139618
"Mar 24, 2018, 6:32:44 PM",Kudos,Activity,1469158995
"Mar 24, 2018, 6:32:46 PM",Kudos,Activity,1469121683
"Mar 24, 2018, 6:32:48 PM",Kudos,Activity,1469098513
"Mar 24, 2018, 6:32:49 PM",Kudos,Activity,1469508833
"Mar 25, 2018, 6:49:40 PM",Kudos,Activity,1470332440
"Mar 27, 2018, 5:47:51 PM",Kudos,Activity,1473532376
"Mar 29, 2018, 6:29:19 PM",Kudos,Activity,1476857148
"Mar 31, 2018, 10:19:11 AM",Kudos,Activity,1481125021
"Mar 31, 2018, 6:25:07 PM",Kudos,Activity,1481559139
