Date,Route ID
"May 19, 2024, 1:16:39 AM",3227083233333043094
"Jul 4, 2021, 6:54:46 PM",2846842260405942466
"Feb 23, 2022, 4:41:47 PM",2931607552392577118
"May 31, 2024, 6:33:41 AM",3231511671722983286
"Jun 4, 2024, 7:46:58 PM",3233160857642927672
"Sep 16, 2023, 3:29:31 PM",3138150450487300314
"Dec 28, 2025, 8:22:36 PM",3440434726543455486
"Oct 25, 2024, 6:54:34 AM",3284787941678077094
"Sep 20, 2022, 6:30:10 AM",3007192699069734390
"Feb 14, 2026, 7:59:38 PM",3457828796816278982
"Aug 19, 2021, 11:29:19 AM",2863400001208141284
"Aug 13, 2021, 11:30:35 AM",2861225991295428530
"Jul 20, 2024, 8:04:28 PM",3249835105095547322
"Sep 6, 2025, 4:45:43 PM",3399451274795708842
"Sep 11, 2023, 6:22:37 PM",3136382069348027610
"Dec 20, 2024, 10:57:49 AM",3305142879479292140
"Jul 28, 2024, 5:00:20 AM",3252506675605241386
"May 8, 2024, 1:57:23 PM",3223288409179521350
"Aug 18, 2023, 7:05:58 AM",3127514477220828378
"Apr 3, 2024, 7:26:37 PM",3210687688963523566
"Jun 21, 2022, 1:38:01 PM",2974323073626759344
"Oct 27, 2025, 7:56:51 AM",3417776257512963196
"Sep 20, 2022, 6:31:37 AM",3007193060870242172
"May 16, 2023, 3:29:04 PM",3093576626979356744
"Dec 21, 2021, 8:10:16 AM",2908286004055282706
"Jul 25, 2022, 5:05:19 PM",2986696430382090772
"Sep 13, 2024, 10:19:11 PM",3269800338309544102
"May 17, 2024, 2:51:46 PM",3226563585933315998
"May 10, 2024, 6:05:28 PM",3224075617311443366
"Jun 28, 2025, 7:23:40 PM",3374123874866588400
"Dec 30, 2025, 4:41:40 PM",3441109063742797474
"Apr 26, 2023, 7:24:08 PM",3086388028611726986
"Sep 14, 2023, 5:22:46 PM",3137454175159571842
"Apr 17, 2024, 12:06:35 PM",3215650383637451118
"Nov 18, 2020, 9:01:35 PM",2764249740347553482
"May 18, 2025, 9:09:29 PM",3359292600183569892
"Apr 12, 2024, 6:44:10 AM",3213757304930472048
"Nov 8, 2024, 9:49:37 PM",3290086621673402072
"Dec 30, 2025, 4:25:00 PM",3441099522438904300
"Feb 14, 2026, 7:50:46 PM",3457826669002961350
"May 16, 2023, 4:14:28 PM",3093588053721328046
"Aug 19, 2024, 9:41:37 AM",3260549994389097388
"Jun 9, 2023, 7:48:02 PM",3102339108825239174
"Jul 1, 2021, 7:59:10 AM",2845590108697502700
"Jun 23, 2022, 9:52:31 PM",2975172297545620390
"Sep 12, 2024, 8:46:15 PM",3269414564658800806
"May 6, 2022, 1:11:42 PM",2957646610283179142
"Jun 5, 2025, 9:00:37 AM",3365632159284719942
"Sep 23, 2022, 4:00:16 PM",3008423332753494228
"Apr 17, 2024, 1:03:37 PM",3215664736810617730
"May 6, 2022, 12:48:03 PM",2957640660623195942
"Dec 6, 2023, 8:57:13 PM",3167586335587491788
"Jun 27, 2022, 7:29:07 PM",2976585758730186760
"Mar 9, 2025, 3:59:25 PM",3333847421989358922
"Sep 14, 2024, 5:37:39 PM",3270091879241938550
"Jun 23, 2022, 10:18:22 AM",2974997609034176422
"May 11, 2021, 7:44:13 PM",2827285760732175030
"May 5, 2023, 7:30:21 PM",3089651083017481268
"Feb 14, 2026, 7:44:19 PM",3457840458426864014
"Oct 27, 2025, 8:16:23 AM",3417778747414655062
"Jul 22, 2025, 12:56:55 PM",3382723856459579994
"Jun 10, 2021, 5:53:22 PM",2838129500487069002
"Dec 21, 2021, 8:05:52 AM",2908284897182904338
"Sep 20, 2022, 6:31:19 AM",3007192987435628412
"Oct 10, 2021, 7:25:18 PM",2882363953194241088
"Jun 19, 2022, 3:45:20 PM",2973630339589712224
"Aug 13, 2022, 4:10:33 PM",2993568020774274352
"Jul 31, 2022, 3:26:25 PM",2988845869103011534
"Sep 13, 2023, 2:42:30 PM",3137051453845749768
"Dec 25, 2024, 1:53:27 PM",3306999019234796790
"Apr 24, 2024, 7:49:44 PM",3218303652241040764
"Mar 26, 2023, 5:33:21 AM",3074944931656839816
"May 17, 2025, 3:56:30 PM",3358851449537313348
"Sep 15, 2025, 7:12:06 PM",3402749607344238244
"Aug 16, 2025, 8:05:11 PM",3391891327456320542
"Jun 2, 2023, 11:38:59 AM",3099679320431801256
"May 19, 2024, 1:05:59 AM",3227080546391221644
"May 19, 2024, 6:48:30 PM",3227347939833430326
"Dec 30, 2025, 4:15:07 PM",3441094192909362668
"Sep 15, 2024, 6:36:41 AM",3270287929502622690
"Dec 21, 2021, 8:07:42 AM",2908285357152512540
"Jun 19, 2022, 3:48:03 PM",2973631022069861728
