Comment Date,Comment
"Dec 6, 2021, 5:55:42 AM","De eerste 41km waren goed te doen, de laatste twee kilometer waren door het oostvoornse meer heen, dat kon je zeker vochtig noemen 😊"
"Mar 13, 2022, 4:48:15 PM",Klopt! Mooi loopje in het zonovergoten Limburg.
"Apr 23, 2022, 10:20:43 AM","Ja, ik denk dat de tegenwind de oorzaak was dat het zo moeizaam ging 😊"
"Dec 3, 2022, 12:11:16 PM",Voorne’s Duin trail? Dan zie ik je daar😊
"Dec 3, 2022, 12:13:36 PM","Yep, 43 km inderdaad. Succes morgen👍"
"Feb 5, 2023, 5:45:26 PM","Gisteren gehoord dat de trappen van de skiheuvel de ideale trainingsfaciliteit zijn voor de Barkley marathon. Gewoon 40 keer omhooglopen, dan even een normale marathon om de spieren wat rust te geven, 20 minuten echt rust en dat 5x herhalen…"
"Apr 9, 2023, 10:11:13 AM","Haha, inderdaad. Vandaag speciaal de kasseienstrook van Beldert opgenomen in mijn rondje, 100 meter stuiteren was wel weer genoeg 😅"
"Apr 16, 2023, 3:16:32 PM",Wow! Super prestatie
"Jun 4, 2023, 6:35:11 PM",👋🏻
"Jul 14, 2023, 10:51:55 AM",Oei. Sterkte!
"Jul 29, 2023, 10:56:13 AM","Ja, viel niet mee inderdaad"
"Oct 1, 2023, 5:00:09 PM","4 glaasjes tijdens de race, je wordt er wel wat draaierig van 😅"
"Oct 15, 2023, 2:55:09 PM",Jij stond vast helemaal vooraan 😊
"Nov 18, 2023, 2:53:59 PM",Wel droog gelukkig 🙂 
"Dec 10, 2023, 4:01:48 PM",Mooi tempo weer
"Jan 6, 2024, 12:23:48 PM",Beetje parcourskennis kan geen kwaad 😊
"Jan 20, 2024, 11:45:31 AM",Over twee weken de 50km Drielandenpunt trail. Dus even wat kilometers in de benen om warm te draaien.
"Feb 4, 2024, 4:54:48 PM","Ja, hele mooie ritten daar. Ook leuk om op plekken te rijden waar je anders nooit zou komen."
"Feb 11, 2024, 3:22:10 PM","Erg mooi inderdaad. Beter geschikt om te lopen dan om te fietsen,"
"Mar 24, 2024, 4:50:10 PM",Netjes hoor. Zware omstandigheden met die wind lijkt me.
"Apr 5, 2024, 5:00:27 PM",Col du Vaanplein
"Apr 14, 2024, 12:53:00 PM",Mooie tijd 👍
"Apr 14, 2024, 6:09:31 PM",Super prestatie 
"May 5, 2024, 2:21:11 PM",Mooie omgeving 👍
"Jun 5, 2024, 7:23:23 AM","Ja, heel mooi hier in het Jura gebergte. Zwitserse kwaliteit wegen. Misschien iets voor de volgende Blis fietstrip."
"Jun 8, 2024, 3:38:00 PM",Dank! Het was weer een lekker loopje 😅
"Jun 15, 2024, 4:56:06 PM",Succes morgen! Omgeving ziet er mooi uit.
"Aug 25, 2024, 12:52:18 PM",👋
"Sep 2, 2024, 12:46:03 PM",Gelukkig geen lekke banden. Goed om de gaten in de weg heen sturen in Italië.
"Sep 15, 2024, 3:18:27 PM",Echt heel mooi lopen hier 👍
"Oct 30, 2024, 11:09:15 AM",Dat is in het echt ook een hele mooie klim👍
"Nov 26, 2024, 8:22:52 AM","Helaas niet, ben al weer terug in NL"
"Nov 30, 2024, 11:51:19 AM",Ik kan hem wel aanraden. Leuke afwisselende route.
"Dec 15, 2024, 2:58:50 PM",Gestart bij de Egyptenaar en nog even gezwaaid naar hotel Bergidyll
"Mar 2, 2025, 5:45:40 AM",BAM! De Six Star Medal is binnen!
